2,725,858,895,2230,2352,2594,300015,600028,600029,600276,600309,600436,600519,600887,600900,601088,601390,601398,601628,601668,601766,601857,601888,601899,601939
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,2,0,0,1
0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,-1,0,2,0,0,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
0,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,-3,1,0,0,-3,0,0,0,0,0,0,0,0,-2,0,15,0,0,0,0,-171
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,-15,0,0,0,0,17
0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-12,0,0,7,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,-2,0,0,0,11
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,-3,0,0,5,0,-2,-3,0,0,0,13
0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,-1,0,-3,-2,0,0,0,12
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,10
0,3,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,-5,0,-1,0,0,0,0,7
0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-4,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,3,0,5,0,0,8
0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,-6,0,-2,0,0,10
0,0,0,0,0,0,0,0,-2,8,0,0,0,0,0,0,0,0,0,0,-4,0,-2,0,0,7
0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,5,0,-1,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,7
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,8
0,-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,1,-4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-4,0,0,0,0,5
0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,-81
0,0,0,0,0,0,0,0,-6,-5,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,-38
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,-3,0,4,0,0,9
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,10,0,8,1,0,0,0,7
0,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,-4,0,0,1,0,5,0,-4,0,0,9
0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,2,0,0,7,0,5,0,0,0,0,9
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-26,0,3,0,0,0,0,7
0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,2,0,0,-21,0,-11,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,-4,0,0,0,0,10
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,-5,0,-14,0,0,11,-1,12,0,0,8
0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-19,0,-8,0,0,8
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,4,0,0,0,-4,0,0,7
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,-1,0,0,-6,0,6,0,0,0,0,7
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,7
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,1,0,0,-4,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,1,0,0,6,0,5,0,0,0,0,-7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-4,0,0,0,0,7
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,4,0,-1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,-18,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,-3,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,-1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-2,2,-5,0,13,0,0,-111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-13,0,0,6
0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-1,0,0,13,0,0,-17
0,-5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-13,0,0,13
0,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,11
0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,3,0,0,2
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,-1,-1,0,0,-1,0,0,8
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,-1,0,0,6
0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,5
0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,10,-1,-1,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,0,0,0,1,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-1,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,-61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,-12,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,-1,0,0,6
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-6,0,4,0,0,0,0,4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,-2,0,-18,0,-2,0,0,5
0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,-3,0,0,-1,1,0,0,0,0,0,7
0,-1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5
0,1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,6
0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,-1,4,0,0,0,0,4
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-4,-2,0,-3,0,7,0,0,4
0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-3,0,3,0,1,0,0,3
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,-2,0,0,1
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,0,-4,0,-6,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2
0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,1
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,2
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,-154
0,0,0,0,0,0,0,0,10,-11,0,0,0,0,0,2,0,0,-15,0,8,0,0,0,0,9
0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,7,0,0,-12,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,0,0,0,0,8
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,-6,11,0,9,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,7
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,-6,0,9,0,0,0,0,6
0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,5,0,-21,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,5
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-4,0,0,2,0,-6,0,0,0,0,8
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,4
0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,5
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-14,0,5,0,0,0,0,4
0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,6,0,-19,0,0,0,0,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,-1,0,6,0,2,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,0,0,3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-2,0,-3,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,3,0,-2,0,3,0,0,2
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,-3,0,0,2
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,4,0,0,0,3
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1
0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-2,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,3,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-10,0,2,0,0,0,0,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,5,0,0,0,0,-201
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,-4,3,-8,7,16,0,0,12
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,10,-3,9,-7,-8,0,0,10
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,-2,0,0,1,0,-2,0,2,0,0,15
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,-4,0,0,10
0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,1,0,0,-11,0,2,0,9,0,0,9
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,6
0,0,0,0,0,0,0,0,1,-14,0,0,0,0,0,2,0,0,0,0,1,0,-15,0,0,9
0,0,0,0,0,0,0,0,-1,6,0,0,0,0,0,-5,0,0,12,0,-1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,18
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
